gen,nevals,best_ind,best_fit
0,50,"[23, 'entropy', 9, 6]",0.6778929282759527
1,50,"[22, 'entropy', 2, 1]",0.6802249994528224
2,50,"[22, 'entropy', 2, 1]",0.6802249994528224
3,50,"[66, 'entropy', 2, 1]",0.6802249994528224
4,50,"[22, 'entropy', 2, 1]",0.6802249994528224
5,50,"[66, 'entropy', 2, 1]",0.6802249994528224
6,50,"[58, 'entropy', 2, 1]",0.6802249994528224
0,50,"[84, 'entropy', 9, 2]",0.678819847227998
1,50,"[84, 'entropy', 9, 2]",0.678819847227998
2,50,"[84, 'entropy', 9, 2]",0.678819847227998
3,50,"[68, 'entropy', 9, 2]",0.678819847227998
4,50,"[84, 'entropy', 9, 2]",0.678819847227998
5,50,"[35, 'entropy', 5, 2]",0.6820897809100659
6,50,"[68, 'entropy', 5, 2]",0.6820897809100659
7,50,"[68, 'entropy', 5, 2]",0.6820897809100659
8,50,"[84, 'entropy', 5, 2]",0.6820897809100659
9,50,"[68, 'entropy', 5, 2]",0.6820897809100659
10,50,"[84, 'entropy', 5, 2]",0.6820897809100659
0,50,"[36, 'entropy', 7, 7]",0.6727527413600647
1,50,"[62, 'entropy', 7, 4]",0.6806955722383944
2,50,"[72, 'entropy', 8, 6]",0.6778929282759527
3,50,"[83, 'entropy', 9, 2]",0.678819847227998
4,50,"[49, 'entropy', 8, 4]",0.6806955722383944
5,50,"[83, 'entropy', 8, 4]",0.6806955722383944
6,50,"[83, 'entropy', 8, 4]",0.6806955722383944
