Restart,Generation,Fitness,Individual
0,0,-0.6532312925170067,"[828, 0.8848301055269227, 1916, 1918, 0.9236880442588133, 0.38669795060992856]"
0,1,-0.28351422743665733,"[593.9322074207164, 0.8393065055502983, 219.21333068134732, -13.06269109228981, 0.6973461908098584, 0.37008224681507557]"
0,2,-0.06632773976094344,"[139.2536795395311, 0.8031501386112444, 249.96742657533088, -94.22440348558135, 0.9302541341338292, 0.9708404780428829]"
0,3,-0.06632773976094344,"[139.2536795395311, 0.8031501386112444, 249.96742657533088, -94.22440348558135, 0.9302541341338292, 0.9708404780428829]"
0,4,-0.06518016525677897,"[1669.9317699351043, 0.71581836797809, 1064.1143524076012, -208.9302747919599, 0.775234751925074, 1.0442818854850355]"
0,5,-0.058030875770163325,"[92.61806355964643, 0.3372662113311298, 1050.3085954694934, -200.35833199413705, 0.7989059713913025, 0.9712943978590456]"
0,6,-0.05790081161336267,"[121.92653406552225, 0.39408530168651057, 1054.8271185389292, -208.2727747474113, 0.7937416949615955, 1.012561256304436]"
0,7,-0.05642291988994508,"[88.09148918460545, 0.3374732415673035, -54.21630978321579, -77.63871644605169, 0.8022292327723981, 0.7412317169922451]"
0,8,-0.05642291988994508,"[88.09148918460545, 0.3374732415673035, -54.21630978321579, -77.63871644605169, 0.8022292327723981, 0.7412317169922451]"
0,9,-0.05642291988994508,"[88.09148918460545, 0.3374732415673035, -54.21630978321579, -77.63871644605169, 0.8022292327723981, 0.7412317169922451]"
0,10,-0.05412553592923043,"[87.73185910854353, 0.23245224497991937, -570.7771242036625, -268.62210186606393, 0.8010012193082394, 0.9645329602060386]"
0,11,-0.05407697380573202,"[83.89880897397887, 0.19503464910201102, -289.7776131165242, -313.8335331831646, 0.4449137925534069, 1.1623817158478187]"
0,12,-0.051820191092791915,"[88.24087757293997, 0.22774578786424018, -121.37295762315827, -180.9188415251444, 0.7932712823448036, 0.5548996719039108]"
0,13,-0.05211705898566752,"[87.91086962752715, 0.22859614061446654, -515.300568519283, -182.2745346453939, 0.7989142212084087, 0.5259229543955117]"
0,14,-0.049776679132288705,"[72.60715561902812, 0.3326780975102447, 5.9639174585304495, -119.75089407829165, 0.8444728210200965, 0.9379272553908455]"
0,15,-0.049776679132288705,"[72.60715561902812, 0.3326780975102447, 5.174422326949482, -119.75089407829165, 0.8444728210200965, 0.9379272553908455]"
0,16,-0.049371071873834695,"[111.39512752693061, 0.20408084267437782, -1118.5724513297812, -333.3635726630262, 0.7936098028290768, 0.5260635514358929]"
0,17,-0.043506047108537435,"[72.56571704675386, 0.40337446563971735, 6.353144258914977, -117.40784917286938, 0.8444728210200965, 0.9379272553908455]"
0,18,-0.043506047108537435,"[72.56571704675386, 0.40337446563971735, 6.353144258914977, -118.37308338078655, 0.8444728210200965, 0.9379272553908455]"
0,19,-0.03793339122215426,"[72.58345219051458, 0.3966688500542148, 5.599381663797564, -118.04655723271901, 0.8444728210200965, 0.9379272553908455]"
0,20,-0.0332541178005797,"[72.56571704675386, 0.5810935688030263, 6.353144258914977, -118.37308338078655, 0.8444728210200965, 0.9379272553908455]"
0,21,-0.0332541178005797,"[72.56571704675386, 0.5810935688030263, 6.353144258914977, -118.37308338078655, 0.8444728210200965, 0.9379272553908455]"
0,22,-0.030998359848196072,"[72.58555867028998, 0.582118438414077, 6.499067309451678, -119.46503931980075, -1.4606537030928932, 0.9379272553908455]"
0,23,-0.030998359848196072,"[72.58555867028998, 0.582118438414077, 6.499067309451678, -119.46503931980075, -1.4606537030928932, 0.9379272553908455]"
0,24,-0.030998359848196072,"[72.58555867028998, 0.582118438414077, 6.499067309451678, -119.46503931980075, -1.4606537030928932, 0.9379272553908455]"
0,25,-0.030626453257466803,"[73.05230219734916, 0.598051462131909, 6.274158243212157, -119.54281185602287, -0.22828096007057125, 0.937954695493283]"
0,26,-0.030874354949481375,"[72.58542023397274, 0.5847019109094166, 6.448616643768505, -119.37096914705194, 0.4828715451692948, 0.9378769369668843]"
0,27,-0.030874354949481375,"[72.58542023397274, 0.5847019109094166, 6.448616643768505, -119.37096914705194, 0.4828715451692948, 0.9378769369668843]"
0,28,-0.030874354949481375,"[72.58542023397274, 0.5847019109094166, 6.448616643768505, -119.37096914705194, 0.4828715451692948, 0.9378769369668843]"
0,29,-0.030874292308234956,"[72.43025892496972, 0.5846945837960947, 6.456105092832981, -119.32774998349763, -2.6264571125677763, 1.2079427713308206]"
0,30,-0.030874292308234956,"[72.43025892496972, 0.5846945837960947, 6.456105092832981, -119.32774998349763, -2.6264571125677763, 1.2079427713308206]"
1,0,-0.10750418351888098,"[1508.126856648712, 0.8661697162901095, 598.1988449443545, -43.986846075569915, 0.6879418710914504, 0.5156396514063442]"
