gen,nevals,best_ind,best_fit
0,50,"[1.3945889585116749, 0.3984024539731167, 515, 'saga', 'l1']",0.8854603952811398
1,50,"[1.3945889585116749, 0.06395793199409727, 668, 'saga', 'l1']",0.8859265906454509
2,50,"[0.3666361550951851, 0.6762803297695377, 664, 'saga', 'l1']",0.886390597299131
3,50,"[1.3945889585116749, 0.15483328376151895, 597, 'saga', 'l1']",0.8863938803650768
4,50,"[1.3945889585116749, 0.15483328376151895, 597, 'saga', 'l1']",0.8863938803650768
5,50,"[1.3945889585116749, 0.15483328376151895, 597, 'saga', 'l1']",0.8863938803650768
0,50,"[5.742070169645108, 0.5873380557887852, 797, 'saga', 'l1']",0.8821882728884415
1,50,"[0.8895813093302738, 0.9089904377828734, 828, 'saga', 'elasticnet']",0.8859298737113965
2,50,"[0.8895813093302738, 0.9089904377828734, 828, 'saga', 'l1']",0.8882663223095275
3,50,"[0.8895813093302738, 0.9089904377828734, 893, 'saga', 'l1']",0.8882663223095275
4,50,"[0.8895813093302738, 0.9089904377828734, 828, 'saga', 'l1']",0.8882663223095275
5,50,"[0.8895813093302738, 0.9089904377828734, 828, 'saga', 'l1']",0.8882663223095275
6,50,"[0.8895813093302738, 0.9803599632901754, 828, 'saga', 'elasticnet']",0.8882674166648428
7,50,"[0.8895813093302738, 0.9803599632901754, 828, 'saga', 'elasticnet']",0.8882674166648428
