Restart,Generation,Fitness,Individual
0,0,0.9523809523809523,"['l2', 1388.1837662942594, 'lbfgs', 5000]"
0,1,0.9523809523809523,"['l2', 1690.7038044669869, 'saga', 5000]"
0,2,0.9523809523809523,"['l2', 1617.8128769489747, 'newton-cg', 5000]"
0,3,0.9523809523809523,"['l2', 5101.122763893881, 'lbfgs', 100]"
0,4,0.9523809523809523,"['l2', 226.25578274579618, 'sag', 5000]"
0,5,0.9523809523809523,"['l2', 1690.7038044669869, 'saga', 5000]"
1,0,0.9523809523809523,"['l2', 368.6073592643596, 'lbfgs', 100]"
1,1,0.9523809523809523,"['l2', 472.4348788650727, 'lbfgs', 2500]"
1,2,0.9523809523809523,"['l2', 3525.5382994415836, 'sag', 5000]"
1,3,0.9523809523809523,"['l2', 6360.242204862697, 'saga', 5000]"
1,4,0.9523809523809523,"['l2', 6722.965764445073, 'newton-cg', 100]"
1,5,0.9523809523809523,"['l2', 302.5922084361755, 'lbfgs', 100]"
2,0,0.9523809523809523,"['l2', 8691.992162510456, 'lbfgs', 5000]"
2,1,0.9523809523809523,"['l2', 153.48726152618408, 'sag', 100]"
2,2,0.9523809523809523,"['l2', 3848.8234371220074, 'lbfgs', 1000]"
2,3,0.9523809523809523,"['l2', 8691.992162510456, 'lbfgs', 5000]"
2,4,0.9523809523809523,"['l2', 8691.992162510456, 'lbfgs', 100]"
2,5,0.9523809523809523,"['l2', 8691.992162510456, 'lbfgs', 5000]"
3,0,0.9523809523809523,"['l2', 6162.550766096172, 'saga', 5000]"
3,1,0.9523809523809523,"['l2', 8784.653897058646, 'lbfgs', 5000]"
3,2,0.9523809523809523,"['l2', 2695.020814317968, 'newton-cg', 5000]"
3,3,0.9523809523809523,"['l2', 2979.8597935432276, 'lbfgs', 2500]"
3,4,0.9523809523809523,"['l2', 3205.6014026347148, 'sag', 100]"
3,5,0.9523809523809523,"['l2', 2979.8597935432276, 'newton-cg', 1000]"
4,0,0.9523809523809523,"['l2', 8130.847697700142, 'newton-cg', 1000]"
4,1,0.9523809523809523,"['l2', 7046.4923760882475, 'newton-cg', 2500]"
4,2,0.9523809523809523,"['l2', 4447.188202147144, 'sag', 100]"
4,3,0.9523809523809523,"['l2', 2109.4454865632893, 'lbfgs', 100]"
4,4,0.9523809523809523,"['l2', 8793.81814452926, 'lbfgs', 2500]"
4,5,0.9523809523809523,"['l2', 8721.823231371742, 'newton-cg', 2500]"
