gen,nevals,best_ind,best_fit
0,50,"[86, 10, 'entropy', 6, 1]",0.7914859156470924
1,50,"[86, 10, 'entropy', 6, 1]",0.7914859156470924
2,50,"[86, 10, 'entropy', 6, 1]",0.7914859156470924
3,50,"[86, 10, 'entropy', 6, 1]",0.7914859156470924
4,50,"[94, 10, 'entropy', 6, 1]",0.7933594519468581
5,50,"[94, 10, 'entropy', 6, 1]",0.7933594519468581
6,50,"[94, 10, 'entropy', 6, 1]",0.7933594519468581
7,50,"[94, 10, 'entropy', 6, 1]",0.7933594519468581
8,50,"[94, 10, 'entropy', 6, 1]",0.7933594519468581
9,50,"[94, 10, 'entropy', 6, 1]",0.7933594519468581
0,50,"[68, 10, 'entropy', 3, 1]",0.7896178511239029
1,50,"[68, 10, 'entropy', 3, 2]",0.789614568057957
2,50,"[68, 10, 'entropy', 3, 2]",0.789614568057957
3,50,"[68, 10, 'entropy', 3, 1]",0.7896178511239029
4,50,"[68, 10, 'entropy', 3, 1]",0.7896178511239029
5,50,"[95, 10, 'entropy', 6, 1]",0.7928910678719167
6,50,"[95, 10, 'entropy', 6, 1]",0.7928910678719167
7,50,"[95, 10, 'entropy', 6, 1]",0.7928910678719167
8,50,"[95, 10, 'entropy', 6, 1]",0.7928910678719167
9,50,"[95, 10, 'entropy', 6, 1]",0.7928910678719167
10,50,"[95, 10, 'entropy', 6, 1]",0.7928910678719167
0,50,"[65, 10, 'entropy', 2, 2]",0.790080763422268
1,50,"[65, 10, 'entropy', 2, 2]",0.790080763422268
2,50,"[65, 10, 'entropy', 2, 2]",0.790080763422268
3,50,"[65, 10, 'entropy', 2, 2]",0.790080763422268
4,50,"[65, 10, 'entropy', 4, 2]",0.790080763422268
5,50,"[65, 10, 'entropy', 4, 2]",0.790080763422268
